SC,AIF,Nl,RW,Economic_Impact,Environmental_Impact,Social_Impact,EQ0,EQ1,EQ2,EQ3,EQ4,F0,F1,F2,F3
1,45124.53260373917,30,2346.498792524292,3974792.423223436,111736.93787592558,0.9363143905772207,1,1,1,1,1,0.9715868050586381,0.0,0.02841319494136181,0.0
4,191975.59422078996,181,2363.1714451878406,15200446.983491749,178263.05177644783,0.9394145491238083,1,1,1,1,1,0.9688959011591447,0.0,0.031104098840855198,0.0
1,63303.234641595576,25,2679.4945486288257,5568472.899097085,156750.86673157001,0.9982325304255906,1,1,1,1,1,0.8198428884227952,0.16618641087789754,0.0,0.013970700699307333
1,44847.74773288601,27,2687.6079000014083,3386430.380829066,111051.56581476536,0.999741149126331,1,1,1,1,1,0.79896114134345,0.04175553358076483,0.013560837629612918,0.14572248744617228
4,210827.30947687727,187,1537.5541112324956,18738243.306204602,195768.21594281463,0.4518060993197446,0,0,1,0,0,0.9207798450339421,0.05558121867263377,0.023638936293424118,0.0
4,184925.509957358,178,1599.507840914253,15875796.797082663,171716.54496040387,0.7974168540190132,1,1,1,1,1,0.9259540450786549,0.055893549948879864,0.01815240497246535,0.0
1,28905.2450956453,26,1601.944880884009,2405875.685147129,71574.89261778837,0.7978700038832296,1,1,1,1,1,0.8314589525932348,0.1685410474067652,0.0,0.0
1,37336.69722133063,25,1537.5541112324956,3389017.6406947486,92452.77407186633,0.7404424629561082,1,0,1,1,1,0.9347139242434959,0.0,0.06528607575650408,0.0
1,38957.6220031934,25,2609.4632637821774,3347788.583886735,96466.49257933605,0.9852107221610594,1,1,1,1,1,0.9498254499900783,0.027491157993774638,0.022683392016147014,0.0
1,28170.652539884966,32,2363.1714451878406,2154718.727483079,69755.90152733421,0.9394145491238083,1,1,1,1,1,1.0,0.0,0.0,0.0
1,41471.34608394299,25,2461.0507554328456,3601005.3068162426,102690.95220785883,0.9235235861550644,0,1,1,1,1,0.9017938123745619,0.08833468940511696,0.0,0.009871498220321153
1,51414.36139656929,25,2459.1627108509856,4369281.268726338,127311.75202960017,0.9572634270827418,1,1,1,1,1,0.8497771120156996,0.05129526644254766,0.016659032222631216,0.08226858931912145
1,45936.60854701161,25,1658.1228504033713,4448778.5089357495,113747.7925926002,0.5537704343357972,1,1,1,0,0,0.9430730897219213,0.056926910278078745,0.0,0.0
